phrase,theme
kan hjælpe,General
hjælper,General
skal hjælpe,General
er bedre,General
har været bedre,General
forbedrer,General
sparer,General
aflaster,General
skal sikre,General
skal sørge for,General
få muligheden,General
giver muligheden,General
inspirere til,General
fører til,General
bidrager til,General
skaber,General
reducerer,General
effektiviserer,General
styrker,General
beskytter,General
løser,General
gavner,General
giver resultater,General
fører til forbedringer,General
har vist sig at,General
bliver brugt af,General
implementeres i,General
viser potentiale,General
gør det nemmere at,General
testes i praksis,General
kan bidrage til,General
øger velfærd,General
letter arbejdet,General
styrker indsatsen,General
for ældre,General
for patienter,General
for unge,General
for klimaet,General
for samfundet,General
for borgerne,General
bruges i praksis,General
har ændret politik,General
har ført til ændringer,General
indført i sundhedsvæsnet,General
brugt i skoler,General
ændrede adfærd,General
resulterede i nye retningslinjer,General
informerer beslutningstagning,General
påvirker lovgivning,General
implementeret i kommuner,General
anvendes i uddannelse,General
har forbedret processer,General
er blevet vedtaget,General
er blevet brugt af myndigheder,General
hjulpet med beslutninger,General
påvirket sundhedspolitik,General
styrket patientbehandling,General
ført til nye standarder,General
ændret praksis i felten,General
tilføjet til undervisningsmateriale,General
implementeret i praksis,General
anvendes i kommuner,General
bruges i undervisningen,General
testet i virkeligheden,General
anvendt i beslutningsstøtte,General
brugt i sagsbehandling,General
medført ændringer,General
ført til implementering,General
taget i brug,General
realiseret i praksis,General
overført til praksis,General
afprøvet i pilotprojekter,General
brugt i udviklingsarbejde,General
anvendt i dagtilbud,General
indarbejdet i strategier,General
opnået praksiseffekt,General
ændret lovgivning,General
påvirket politik,General
citeret i bekendtgørelse,General
grundlag for strategi,General
brugt af myndigheder,General
indgået i retningslinjer,General
input til politisk beslutning,General
informeret politikere,General
bidraget til ny lov,General
brugt i evaluering,General
udarbejdet til høringssvar,General
ændret regulering,General
forbedret patientforløb,General
brugt i sundhedssektoren,General
styrket indsatsen for udsatte,General
brugt i behandling,General
ændret klinisk praksis,General
indført i hospitalsdrift,General
forbedret pleje,General
brugt i psykiatrien,General
forbedret livskvalitet,General
anvendt af terapeuter,General
øget sundhedsindsats,General
gavn for borgerne,General
skaber værdi for samfundet,General
skabt nye løsninger,General
styrket samarbejdet,General
nyttiggjort i praksis,General
brugt i erhvervslivet,General
støttet beslutningstagning,General
inddraget civilsamfundet,General
skabt arbejdspladser,General
understøttet grøn omstilling,General
indgået partnerskab,General
fremmet innovation,General
skabt nye muligheder,General
forbedret vilkår,General
medført ændret adfærd,General
ført til holdningsændring,General
brugt til kompetenceudvikling,General
forankret i organisationer,General
